Unnamed: 0,r_id,recipe,Calories.kcal.,Moisture.g.,Protein.g.,Crude_fat.g.,Saturated_fat.g.,Ash.g.,Carbohydrate.g.,Dietary_fiber.g.,Na.mg.,K.mg.,Ca.mg.,Mg.mg.,Fe.mg.,Zn.mg.,P.mg.,VitaminA.IU.,VitaminE.mg.,VitaminB_group,VitaminC.mg.,Fatty_acid_S.mg.,Fatty_acid_M.mg.,Fatty_acid_P.mg.,Amino_acid.mg.,Cholesterol.mg.,Cluster
26286,10005436,菓媽咪 涼拌豆干絲,82.2473,81.0449,3.8075,4.6992,0.7328,3.6962,6.7524,2.2462,682.0089,928.0752,85.5566,16.5559,1.4114,0.5919,69.554,12616.5999,2.3011,11.3718,4.4072,732.7967,1291.0430000000001,2615.1992,3217.4688,0.0,6
26287,10005454,鹹蛋豆腐,108.5748,77.3644,7.3414,5.9976,1.9226,2.8099,6.4868,1.5757,905.2374,220.3946,73.131,24.6275,2.5424,0.9759,134.1918,6671.8396,1.5357,31.764,5.2557,1922.6012,2701.9791,1339.4434,7288.4501,206.97,6
26288,10005493,豆乳拌豆芽,53.6731,80.7942,2.1547,1.7959,0.315,2.3337,8.0038,2.5791,478.0423,516.5292,47.506,19.3825,1.4337,0.3503,41.7041,11211.1033,1.4328,65.308,9.1637,315.0273,491.6308,959.6991,1462.2433,0.0,6
26289,10005499,皇宮菜炒蛋,77.9908,82.5031,3.7565,3.5518,0.8702,1.5451,8.6435,2.187,250.3115,430.5226,33.7234,15.8359,0.7636,0.4996,67.4889,14262.2047,1.4159,28.0932,6.3491,870.2503,1323.3836,1303.2844,2821.4638,72.8876,6
26290,10005503,荷蘭豆筊白筍-家菜搭配菜,42.2007,47.1441,2.1552,0.7005,0.1137,0.9779,7.292999999999999,2.3938,128.0065,300.9405,17.1333,14.8608,0.8342,0.327,40.903,4572.6842,0.6534,15.432,3.623,113.6808,194.4477,321.5011,862.9087,0.0,6
26291,10005505,蒜香炒莧菜,50.2776,71.9439,6.155,1.2699,0.3164,2.0540000000000003,3.4986,0.9209,394.7954,318.4173,90.5637,39.9657,0.2434,0.5870000000000001,115.56299999999999,6097.7748,0.5865,11.5476,2.4725,316.3738,302.5323,630.6791,5527.8282,47.8059,6
26292,10005516,寶寶餐 - 紅莧菜豬肉蒸蛋,53.0653,87.6951,5.5595,2.654,0.8745,1.5691,2.6069,2.016,37.8544,368.0177,166.3525,56.894,8.9142,0.8595,86.1952,8044.6245,0.9225,14.4756,11.8939,874.5165,1100.4885,502.324,4929.4412,77.4194,6
26293,10005531,咖哩粉咖哩,117.4258,78.7157,6.6251,6.8528,1.9704,0.7652,7.1538,1.8311,74.8122,255.9133,29.3823,19.249000000000002,1.9483,1.0826,84.6554,7679.0494,2.8834,15.5902,7.3281,1970.4005,3356.4766,1476.7788,6288.4301,37.319,6
26294,10005546,馬鈴薯蛋 沙拉,66.2269,84.866,3.9965,2.0105,0.6566,0.7038,8.4232,1.5908,65.8114,225.4659,21.6485,12.527000000000001,0.7671,0.705,64.6127,7948.6949,0.6036,25.9976,9.5768,656.6235,854.9153,403.8277,3444.151,82.5088,6
26295,10005548,馬鈴薯沙拉,125.1316,76.8981,4.8864,7.4588,1.6157,0.7977,9.959,1.06,128.5829,226.1685,19.6032,12.6653,0.861,0.877,75.6295,3727.1679999999997,2.8564,27.8033,11.443,1615.7161,2261.9984,3494.4637,4431.3589,114.8977,6
26296,10005571,一人泡麵鍋系列 胡蘿蔔蛋,43.6915,50.4002,3.1309,1.9569,0.6619,0.4243,3.765,1.0076,64.2989,104.6946,19.4743,6.5768,0.5402,0.3748,51.147,8012.7972,0.5511,21.2262,2.1991,661.9189,861.8098,407.0844,2767.7635,83.1742,6
26297,10005595,一口壽司,133.8169,66.1216,4.8914,1.0047,0.3918,1.2086,26.7737,3.1233,142.5511,291.3092,48.8108,35.3931,4.1861,0.7629,77.4758,4690.5373,0.6859999999999999,35.2065,3.9575,391.7968,362.899,232.7258,4288.3353,3.9029,6
26298,10005610,一帆風順-蛋沙拉,96.5899,80.4195,4.448,5.2942,1.227,1.79,8.0484,1.1919,296.8206,501.9721,25.3238,14.0123,0.8285,0.7524,71.5363,4842.9888,1.9509999999999998,26.8351,11.9911,1227.0075,1686.2887,2300.4953,3865.7208,99.5833,6
26299,10005691,一鍋到底蘿蔔排骨湯,73.747,86.5136,4.1864,4.5358,1.8425,0.6708,4.096,0.9875,90.8145,210.1941,21.0978,9.1868,0.3718,0.6209,47.309,4193.6925,0.1801,11.4092,5.1791,1842.4517,2008.62,621.0033,3380.097,15.3499,6
26300,10005703,丁香魚什錦天婦羅,95.4955,56.7409,5.5573,0.4648,0.0721,2.6466,17.0663,1.2138,431.3467,1113.7444,134.83100000000002,23.0664,0.8989,0.5429,120.4633,3914.3391,0.4045,16.2258,4.2588,72.1127,61.0133,299.7674,5238.5095,33.0216,6
26301,10005716,七彩水餃(龍鬚菜一口餃子),215.7236,42.7035,9.3631,2.8167,0.9013,1.3431,38.4242,3.3888,147.3799,193.3605,181.74400000000003,39.1376,6.45,0.8956,75.7528,4878.1791,0.8122,29.750999999999998,3.3642,887.0562,1017.9077,815.8245,9564.3075,32.5555,6
26302,10005718,七彩魚餅 小孩必愛料理,141.2887,75.6421,9.7246,8.8211,2.6905,0.9234,5.45,1.1467,68.5355,285.3017,17.6244,18.3636,0.3952,0.5043,120.6059,7835.469,1.5389,20.837,6.0358,2690.4571,2761.835,3167.8616,9948.0859,69.8371,6
26303,10005719,七福降臨添福壽 豆豆愛的料理,65.6223,82.0979,1.9328,0.4809,0.139,0.8798,14.4662,3.9789,55.1902,285.1473,37.1061,32.9455,0.5765,0.5546,64.7661,9298.489,0.3215,8.083,4.2581,138.9953,215.4689,98.1105,1007.7827,0.0,6
26304,10005720,七福降臨添福壽 豆豆愛的料理,65.6223,82.0979,1.9328,0.4809,0.139,0.8798,14.4662,3.9789,55.1902,285.1473,37.1061,32.9455,0.5765,0.5546,64.7661,9298.489,0.3215,8.083,4.2581,138.9953,215.4689,98.1105,1007.7827,0.0,6
26305,10005730,九層塔玉子燒,112.8636,77.6908,9.9193,6.5578,2.2244,1.6341,4.198,1.3883,205.1584,326.2641,87.7292,27.342,3.6983,1.1179,150.7718,4224.7867,1.3495,51.2034,3.7538,2224.4053,2885.5173,1357.3699,10086.3458,281.1011,6
26306,10005733,九層塔炒蛋,222.0116,68.1018,8.2595,20.6012,4.3085,0.8751,2.1663,0.8412,84.7778,167.2313,72.9755,17.1056,2.3059,0.9337,125.0348,4315.1222,3.8333,41.5101,3.7574,4308.463,13662.9243,2537.8703,8409.1844,232.1576,6
26307,10005736,九層塔香菇蒸蛋-歡慶大同電鍋55週年,107.5555,71.5697,8.4503,2.3549,0.6836,1.8706,15.7546,9.3384,31.8022,631.5882,128.7437,50.3534,3.8753,1.9127,179.63,9671.7284,0.4317,77.077,8.8106,683.5906,840.3731,618.9898,7142.2866,80.1056,6
26308,10005741,九層塔烘蛋-全國電子竹東北興店氣炸鍋,106.8807,76.2878,9.3133,6.0702,2.0514,3.852,4.4768,1.5998,616.0767,924.6989,100.1637,30.4661,4.0158,1.0654,144.1144,4776.1923,1.2517,47.5111,4.2217,2051.3802,2661.4276,1254.4526,9466.9438,259.1357,6
26309,10005745,九層塔梅花豬,120.6829,77.1405,8.4534,4.9555,1.881,1.5996,8.0934,1.2907,341.6377,284.1575,74.0159,27.9599,2.3137,1.1889,81.8035,6051.4179,0.3028,6.7441,5.4278,1880.9617,1961.9219,934.7307,7656.5052,23.9556,6
