Unnamed: 0,r_id,recipe,Calories.kcal.,Moisture.g.,Protein.g.,Crude_fat.g.,Saturated_fat.g.,Ash.g.,Carbohydrate.g.,Dietary_fiber.g.,Na.mg.,K.mg.,Ca.mg.,Mg.mg.,Fe.mg.,Zn.mg.,P.mg.,VitaminA.IU.,VitaminE.mg.,VitaminB_group,VitaminC.mg.,Fatty_acid_S.mg.,Fatty_acid_M.mg.,Fatty_acid_P.mg.,Amino_acid.mg.,Cholesterol.mg.,Cluster
43706,10041450,蠔油炆冬菇伴生菜 [簡易家常菜,45.2307,82.887,2.8739999999999997,0.1235,0.0033,0.9716,9.3435,3.4474,134.8849,259.7965,5.0218,17.6561,0.6941,1.1078,76.3781,35.4612,0.0312,46.2039,0.3979,3.2969,1.5661,5.3545,2294.7539,0.0,7
43707,10041452,冬瓜老菜脯湯,115.68700000000001,82.9848,4.7556,9.8987,3.8542,0.5295,1.8315,0.8083,33.3215,195.6365,9.9713,8.589,0.4181,0.5843,51.0472,24.3065,0.2088,2.2349,11.3768,3854.1909,4442.9608,1574.0934,4298.8721,20.6186,7
43708,10041453,茄汁馬鈴薯燉肉,117.9561,44.1348,4.3815,8.3529,3.2472,0.7894,6.1305,0.3988,182.2516,155.4181,6.3376,9.5564,0.3533,0.5489,47.2772,224.1654,0.7112,4.6189,3.7076,3247.1916,3741.4092,1326.9589,3966.5234,17.444000000000003,7
43709,10041454,美顏蛋白燉奶 15分鐘食譜,115.0082,76.1664,5.587999999999999,5.0549,2.6114,0.8393,12.3515,0.0,64.6152,127.8508,86.2276,11.591,0.5915,0.6926,114.0256,251.3868,0.5569,20.0399,0.2093,2611.3899,1819.881,620.0364,5951.6909,119.0027,7
43710,10041455,素湯 - 土豆栗米磨菇湯,52.8925,85.8681,3.0485,0.5686,0.1368,0.6821,9.8327,3.8665,1.614,279.9666,3.2103,19.8602,0.5675,1.1038,82.0311,33.6952,0.1416,44.4297,2.4474,136.8551,162.6966,164.49900000000002,2403.1623,0.0,7
43711,10041456,蕃茄炒蛋滑蛋升級版,68.5934,79.2825,4.0668,2.6888,1.0393,1.5573,7.4833,0.6065,258.971,376.8469,28.9176,10.4355,0.7593,0.5482,73.2722,1025.0915,1.5063,19.3075,7.1585,1039.2645,1141.1314,501.3255,3675.639,102.7454,7
43712,10041459,味增醃蘿蔔,22.9875,93.2925,0.7155,0.2009,0.0175,0.8955,4.8957,1.1371,252.8909,127.7748,24.9659,9.7105,0.1771,0.2791,18.7892,0.0,0.0776,16.8941,13.5174,17.5456,10.4997,48.5857,172.1837,0.0,7
43713,10041464,青醬雞肉燉飯,129.1625,71.5857,6.6017,3.447,1.9731,1.0494,17.5555,0.4583,240.8963,158.8488,59.3161,12.2115,0.4864,0.875,84.9643,110.0534,0.3292,9.6922,1.1206,1973.0646,989.2342,467.9443,5527.9462,22.1618,7
43714,10041465,低卡料理 醬滷杏鮑菇(素鮑魚),42.4819,87.5341,2.5633,0.1806,0.0447,1.0608,8.6611,2.5467,234.9342,238.1232,18.1502,15.449000000000002,0.5038,0.6291,74.4437,127.2342,0.0633,38.9124,3.4286,44.681999999999995,28.7655,83.5339,1635.8770000000002,0.0,7
43715,10041467,憶柔蔬食絲瓜枸杞炒蛋,50.2063,54.3881,2.1083,3.1329,0.7201,0.6704,3.8846,0.9133,93.1434,188.5389,13.8281,7.896,0.4517,0.2393,34.698,2871.8211,1.6582,26.3233,3.0363,720.0553,1250.9976,1149.6637,1560.9932,44.2783,7
43716,10041468,憶柔蔬食夏日清爽小菜 鳳梨嫩薑,51.4575,85.1291,0.7106,0.1506,0.0522,0.7437,13.265999999999998,1.0590000000000002,75.8425,271.6613,11.7027,12.4261,0.3473,0.4282,11.3944,29.3136,0.0354,11.2906,11.9525,52.1451,59.7222,27.9535,0.0,0.0,7
43717,10041469,憶柔蔬食原味盡現茭白筍,4.5704,20.9971,0.2976,0.035,0.0231,0.1128,0.897,0.4722,1.1179999999999999,48.9436,0.7552,1.6037,0.0883,0.0383,8.5246,1.0191,0.0889,14.1443,1.1589,23.1321,5.2134,6.6157,0.0,0.0,7
43718,10041471,憶柔蔬食豆皮滷大白菜,107.9522,52.3944,9.7217,5.2439,1.1481,1.2716,6.2134,2.8175,62.25,363.4836,38.662,42.5459,1.99,1.1457,168.4609,2035.9674,2.8409,45.229,3.9981,1148.0672,1427.7015,2661.232,10580.3652,1.4213,7
43719,10041472,憶柔蔬食蔬菜福袋,38.4447,90.1547,2.6879,0.9399,0.2128,0.7146,5.502999999999999,1.8061,46.815,221.9459,48.8939,16.0043,0.6814,0.4734,44.541000000000004,545.9731,0.6277,24.8495,34.8245,212.8083,243.6998,356.0172,1309.4274,0.3369,7
43720,10041473,憶柔蔬食懶人料理 電鍋香菇高麗菜飯,134.4098,67.9306,4.3059,2.0277,0.5402,0.7724,24.9649,2.3744,50.202,239.9942,18.0969,20.418,0.6256,1.0065,68.2888,1069.1383,0.8317,32.2368,7.4772,540.2183,707.2522,692.9454,3562.9261,0.7571,7
43721,10041474,憶柔蔬食傳統在來米蘿蔔糕,59.3274,47.2417,1.7928,0.5623,0.1996,0.3766,11.9435,1.3273,24.8297,131.535,7.8773,9.8799,0.2532,0.527,34.341,1.4429,0.0288,18.8622,3.3832,199.5822,201.18400000000003,98.1895,1449.9268,0.4488,7
43722,10041475,憶柔蔬食自己動手做 蘋果果醬,125.7221,66.65899999999999,0.2068,0.1067,0.0373,0.2199,32.8076,1.3164,1.449,92.6653,9.3121,3.2294,0.21,0.2722,8.241,13.7282,0.1483,0.1061,3.5010000000000003,37.306,44.0473,25.1258,15.1661,0.0,7
